card_id,name,scheme_type,members_count,monthly_entitlement_kg,monthly_rice_kg,monthly_wheat_kg,language,home_fps_id
RC-KA-000090,Shankar Kumar,PHH,8,40,25,15,kn,FPS-KA-BLR-U-0010
RC-KA-000091,Chetan Kulkarni,PHH,4,20,5,15,kn,FPS-KA-BLR-U-0011
RC-KA-000092,Shalini Naik,PHH,6,30,10,20,en,FPS-KA-BLR-U-0012
RC-KA-000093,Ravi Kumar,PHH,6,30,25,5,kn,FPS-KA-BLR-U-0013
RC-KA-000094,Divya Shetty,PHH,6,30,0,30,kn,FPS-KA-BLR-U-0014
RC-KA-000095,Lakshmi Hegde,PHH,5,25,0,25,kn,FPS-KA-BLR-U-0015
RC-KA-000096,Naveen Gowda,PHH,6,30,15,15,kn,FPS-KA-BLR-U-0016
RC-KA-000097,Rekha Kulkarni,PHH,7,35,15,20,kn,FPS-KA-BLR-U-0017
RC-KA-000098,Akash Poojary,PHH,1,5,0,5,kn,FPS-KA-BLR-U-0018
RC-KA-000099,Suresh Gowda,PHH,6,30,20,10,kn,FPS-KA-BLR-U-0019
RC-KA-000100,Lakshmi Hegde,PHH,5,25,20,5,kn,FPS-KA-BLR-U-0020
RC-KA-000101,Chetan Kulkarni,PHH,7,35,20,15,kn,FPS-KA-BID-0001
RC-KA-000102,Ganesh Kulkarni,PHH,7,35,10,25,kn,FPS-KA-BID-0002
RC-KA-000103,Lakshmi Rao,PHH,1,5,5,0,kn,FPS-KA-BID-0003
RC-KA-000104,Ravi Reddy,PHH,6,30,15,15,kn,FPS-KA-BID-0004
RC-KA-000105,Ganesh Joshi,PHH,8,40,10,30,kn,FPS-KA-BID-0005
RC-KA-000106,Shalini Reddy,PHH,6,30,0,30,hi,FPS-KA-BID-0006
RC-KA-000107,Arjun Patil,PHH,5,25,5,20,hi,FPS-KA-BID-0007
RC-KA-000108,Priya Kumar,PHH,1,5,0,5,en,FPS-KA-BID-0008
RC-KA-000109,Rahul Sharma,PHH,2,10,5,5,kn,FPS-KA-BID-0009
RC-KA-000110,Deepa Shetty,PHH,4,20,15,5,kn,FPS-KA-BID-0010
RC-KA-000111,Deepa Shetty,PHH,1,5,0,5,hi,FPS-KA-BID-0011
RC-KA-000112,Vijay Kumar,PHH,8,40,0,40,kn,FPS-KA-BID-0012
RC-KA-000113,Manoj Poojary,PHH,2,10,5,5,kn,FPS-KA-BID-0013
RC-KA-000114,Priya Kumar,PHH,6,30,30,0,en,FPS-KA-BID-0014
RC-KA-000115,Sanjay Kumar,PHH,7,35,35,0,en,FPS-KA-BID-0015
RC-KA-000116,Deepa Kumar,PHH,8,40,35,5,kn,FPS-KA-BID-0016
RC-KA-000117,Deepa Naik,PHH,5,25,20,5,kn,FPS-KA-BID-0017
RC-KA-000118,Deepa Naik,PHH,8,40,5,35,hi,FPS-KA-BID-0018
RC-KA-000119,Akash Shetty,PHH,6,30,10,20,en,FPS-KA-BID-0019
RC-KA-000120,Arjun Bhat,PHH,3,15,5,10,kn,FPS-KA-BID-0020
RC-KA-000121,Harish Joshi,PHH,4,20,0,20,kn,FPS-KA-CHA-0001
RC-KA-000122,Sneha Kulkarni,PHH,8,40,30,10,kn,FPS-KA-CHA-0002
RC-KA-000123,Shalini Sharma,PHH,7,35,0,35,en,FPS-KA-CHA-0003
RC-KA-000124,Kavya Naik,PHH,7,35,35,0,kn,FPS-KA-CHA-0004
RC-KA-000125,Sanjay Joshi,PHH,7,35,30,5,kn,FPS-KA-CHA-0005
RC-KA-000126,Lakshmi Desai,PHH,4,20,15,5,kn,FPS-KA-CHA-0006
RC-KA-000127,Ravi Rao,PHH,1,5,5,0,kn,FPS-KA-CHA-0007
RC-KA-000128,Vijay Shetty,PHH,7,35,10,25,hi,FPS-KA-CHA-0008
RC-KA-000129,Ravi Patil,PHH,1,5,5,0,kn,FPS-KA-CHA-0009
RC-KA-000130,Suresh Desai,PHH,2,10,10,0,kn,FPS-KA-CHA-0010
RC-KA-000131,Harish Reddy,PHH,3,15,0,15,kn,FPS-KA-CHA-0011
RC-KA-000132,Swathi Kulkarni,PHH,8,40,25,15,kn,FPS-KA-CHA-0012
RC-KA-000133,Akash Desai,PHH,5,25,15,10,kn,FPS-KA-CHA-0013
RC-KA-000134,Kavya Reddy,PHH,1,5,0,5,en,FPS-KA-CHA-0014
RC-KA-000135,Aarav Reddy,PHH,2,10,10,0,kn,FPS-KA-CHA-0015
RC-KA-000136,Deepa Shetty,PHH,4,20,0,20,kn,FPS-KA-CHA-0016
RC-KA-000137,Chetan Desai,PHH,8,40,5,35,kn,FPS-KA-CHA-0017
RC-KA-000138,Priya Bhat,PHH,5,25,10,15,kn,FPS-KA-CHA-0018
RC-KA-000139,Ananya Sharma,PHH,2,10,0,10,en,FPS-KA-CHA-0019
RC-KA-000140,Vijay Kulkarni,PHH,1,5,5,0,kn,FPS-KA-CHA-0020
RC-KA-000141,Rekha Kumar,PHH,7,35,15,20,kn,FPS-KA-CHB-0001
RC-KA-000142,Ganesh Kumar,PHH,4,20,0,20,kn,FPS-KA-CHB-0002
RC-KA-000143,Kavya Joshi,PHH,2,10,10,0,hi,FPS-KA-CHB-0003
RC-KA-000144,Rahul Hegde,PHH,7,35,25,10,kn,FPS-KA-CHB-0004
RC-KA-000145,Ananya Kulkarni,PHH,1,5,5,0,hi,FPS-KA-CHB-0005
RC-KA-000146,Manoj Bhat,PHH,6,30,25,5,en,FPS-KA-CHB-0006
RC-KA-000147,Naveen Poojary,PHH,3,15,15,0,kn,FPS-KA-CHB-0007
RC-KA-000148,Pooja Rao,PHH,5,25,20,5,hi,FPS-KA-CHB-0008
RC-KA-000149,Sanjay Sharma,PHH,8,40,35,5,kn,FPS-KA-CHB-0009
RC-KA-000150,Sneha Nayak,PHH,5,25,10,15,en,FPS-KA-CHB-0010
RC-KA-000151,Deepa Rao,PHH,2,10,5,5,en,FPS-KA-CHB-0011
RC-KA-000152,Meena Kumar,PHH,8,40,30,10,kn,FPS-KA-CHB-0012
RC-KA-000153,Kavya Rao,PHH,6,30,5,25,kn,FPS-KA-CHB-0013
RC-KA-000154,Priya Bhat,PHH,5,25,10,15,kn,FPS-KA-CHB-0014
RC-KA-000155,Chetan Gowda,PHH,5,25,20,5,kn,FPS-KA-CHB-0015
RC-KA-000156,Shalini Reddy,PHH,4,20,15,5,kn,FPS-KA-CHB-0016
RC-KA-000157,Aarav Gowda,PHH,8,40,35,5,kn,FPS-KA-CHB-0017
RC-KA-000158,Deepa Naik,PHH,5,25,5,20,kn,FPS-KA-CHB-0018
RC-KA-000159,Kavya Kulkarni,PHH,6,30,15,15,kn,FPS-KA-CHB-0019
RC-KA-000160,Divya Naik,PHH,6,30,10,20,hi,FPS-KA-CHB-0020
RC-KA-000161,Chetan Hegde,PHH,5,25,5,20,kn,FPS-KA-CHK-0001
RC-KA-000162,Shalini Bhat,PHH,2,10,10,0,kn,FPS-KA-CHK-0002
RC-KA-000163,Meena Naik,PHH,3,15,5,10,kn,FPS-KA-CHK-0003
RC-KA-000164,Ganesh Reddy,PHH,5,25,0,25,hi,FPS-KA-CHK-0004
RC-KA-000165,Rekha Joshi,PHH,6,30,5,25,kn,FPS-KA-CHK-0005
RC-KA-000166,Aditi Joshi,PHH,3,15,10,5,kn,FPS-KA-CHK-0006
RC-KA-000167,Rahul Kumar,PHH,5,25,25,0,en,FPS-KA-CHK-0007
RC-KA-000168,Prakash Naik,PHH,8,40,5,35,en,FPS-KA-CHK-0008
RC-KA-000169,Bhavana Patil,PHH,8,40,35,5,kn,FPS-KA-CHK-0009
RC-KA-000170,Akash Kulkarni,PHH,5,25,15,10,kn,FPS-KA-CHK-0010
RC-KA-000171,Ravi Patil,PHH,8,40,5,35,kn,FPS-KA-CHK-0011
RC-KA-000172,Ganesh Gowda,PHH,3,15,5,10,hi,FPS-KA-CHK-0012
RC-KA-000173,Lakshmi Sharma,PHH,4,20,0,20,kn,FPS-KA-CHK-0013
RC-KA-000174,Vijay Desai,PHH,4,20,20,0,kn,FPS-KA-CHK-0014
RC-KA-000175,Ganesh Sharma,PHH,5,25,20,5,en,FPS-KA-CHK-0015
RC-KA-000176,Chetan Poojary,PHH,1,5,0,5,en,FPS-KA-CHK-0016
RC-KA-000177,Bhavana Reddy,PHH,4,20,10,10,kn,FPS-KA-CHK-0017
RC-KA-000178,Lakshmi Desai,PHH,3,15,0,15,kn,FPS-KA-CHK-0018
RC-KA-000179,Ganesh Bhat,PHH,8,40,20,20,kn,FPS-KA-CHK-0019
RC-KA-000180,Akash Poojary,PHH,5,25,25,0,en,FPS-KA-CHK-0020
RC-KA-000181,Rahul Sharma,PHH,4,20,10,10,hi,FPS-KA-CHI-0001
RC-KA-000182,Deepa Poojary,PHH,4,20,15,5,kn,FPS-KA-CHI-0002
RC-KA-000183,Akash Patil,PHH,3,15,10,5,hi,FPS-KA-CHI-0003
RC-KA-000184,Sneha Sharma,PHH,3,15,10,5,kn,FPS-KA-CHI-0004
RC-KA-000185,Rekha Naik,PHH,5,25,15,10,kn,FPS-KA-CHI-0005
RC-KA-000186,Meena Desai,PHH,7,35,20,15,kn,FPS-KA-CHI-0006
RC-KA-000187,Lakshmi Bhat,PHH,2,10,10,0,kn,FPS-KA-CHI-0007
RC-KA-000188,Akash Reddy,PHH,6,30,20,10,kn,FPS-KA-CHI-0008
RC-KA-000189,Shalini Rao,PHH,1,5,5,0,kn,FPS-KA-CHI-0009
RC-KA-000190,Manoj Nayak,PHH,3,15,15,0,kn,FPS-KA-CHI-0010
RC-KA-000191,Lakshmi Poojary,PHH,5,25,5,20,en,FPS-KA-CHI-0011
RC-KA-000192,Lakshmi Hegde,PHH,8,40,5,35,kn,FPS-KA-CHI-0012
RC-KA-000193,Bhavana Hegde,PHH,6,30,25,5,kn,FPS-KA-CHI-0013
RC-KA-000194,Kiran Kumar,PHH,7,35,35,0,kn,FPS-KA-CHI-0014
RC-KA-000195,Divya Hegde,PHH,1,5,5,0,kn,FPS-KA-CHI-0015
RC-KA-000196,Sneha Patil,PHH,2,10,5,5,en,FPS-KA-CHI-0016
RC-KA-000197,Naveen Hegde,PHH,8,40,30,10,kn,FPS-KA-CHI-0017
RC-KA-000198,Chetan Naik,PHH,8,40,35,5,hi,FPS-KA-CHI-0018
RC-KA-000199,Rekha Desai,PHH,3,15,10,5,kn,FPS-KA-CHI-0019
RC-KA-000200,Priya Rao,PHH,2,10,0,10,en,FPS-KA-CHI-0020
RC-KA-000201,Aarav Joshi,PHH,4,20,5,15,kn,FPS-KA-DK-0001
RC-KA-000202,Sneha Nayak,PHH,7,35,5,30,kn,FPS-KA-DK-0002
RC-KA-000203,Rahul Kumar,PHH,2,10,5,5,en,FPS-KA-DK-0003
RC-KA-000204,Ganesh Joshi,PHH,3,15,15,0,en,FPS-KA-DK-0004
RC-KA-000205,Meena Reddy,PHH,5,25,15,10,hi,FPS-KA-DK-0005
RC-KA-000206,Chetan Nayak,PHH,8,40,40,0,kn,FPS-KA-DK-0006
RC-KA-000207,Shankar Kumar,PHH,3,15,0,15,kn,FPS-KA-DK-0007
RC-KA-000208,Naveen Naik,PHH,7,35,25,10,en,FPS-KA-DK-0008
RC-KA-000209,Sneha Sharma,PHH,1,5,5,0,hi,FPS-KA-DK-0009
RC-KA-000210,Meena Hegde,PHH,8,40,10,30,kn,FPS-KA-DK-0010
RC-KA-000211,Kiran Desai,PHH,6,30,20,10,hi,FPS-KA-DK-0011
RC-KA-000212,Rekha Reddy,PHH,6,30,30,0,kn,FPS-KA-DK-0012
RC-KA-000213,Lakshmi Patil,PHH,7,35,15,20,en,FPS-KA-DK-0013
RC-KA-000214,Vijay Rao,PHH,6,30,25,5,kn,FPS-KA-DK-0014
RC-KA-000215,Shankar Kumar,PHH,7,35,30,5,en,FPS-KA-DK-0015
RC-KA-000216,Arjun Joshi,PHH,3,15,15,0,en,FPS-KA-DK-0016
RC-KA-000217,Suresh Desai,PHH,6,30,30,0,kn,FPS-KA-DK-0017
RC-KA-000218,Aarav Bhat,PHH,2,10,10,0,en,FPS-KA-DK-0018
RC-KA-000219,Arjun Gowda,PHH,3,15,15,0,en,FPS-KA-DK-0019
RC-KA-000220,Rekha Kulkarni,PHH,8,40,20,20,kn,FPS-KA-DK-0020
RC-KA-000221,Suresh Joshi,PHH,2,10,5,5,en,FPS-KA-DAV-0001
RC-KA-000222,Swathi Rao,PHH,7,35,25,10,kn,FPS-KA-DAV-0002
RC-KA-000223,Akash Reddy,PHH,8,40,40,0,kn,FPS-KA-DAV-0003
RC-KA-000224,Lakshmi Gowda,PHH,5,25,5,20,hi,FPS-KA-DAV-0004
RC-KA-000225,Ganesh Nayak,PHH,2,10,5,5,kn,FPS-KA-DAV-0005
RC-KA-000226,Aditi Naik,PHH,1,5,0,5,kn,FPS-KA-DAV-0006
RC-KA-000227,Deepa Joshi,PHH,6,30,10,20,kn,FPS-KA-DAV-0007
RC-KA-000228,Akash Sharma,PHH,7,35,10,25,kn,FPS-KA-DAV-0008
RC-KA-000229,Prakash Shetty,PHH,7,35,15,20,kn,FPS-KA-DAV-0009
RC-KA-000230,Manoj Naik,PHH,4,20,15,5,kn,FPS-KA-DAV-0010
RC-KA-000231,Ravi Joshi,PHH,1,5,5,0,en,FPS-KA-DAV-0011
RC-KA-000232,Kavya Sharma,PHH,3,15,0,15,kn,FPS-KA-DAV-0012
RC-KA-000233,Rekha Naik,PHH,5,25,25,0,en,FPS-KA-DAV-0013
RC-KA-000234,Kiran Kumar,PHH,8,40,20,20,kn,FPS-KA-DAV-0014
RC-KA-000235,Prakash Hegde,PHH,8,40,5,35,kn,FPS-KA-DAV-0015
RC-KA-000236,Sneha Poojary,PHH,5,25,25,0,kn,FPS-KA-DAV-0016
RC-KA-000237,Suresh Poojary,PHH,7,35,20,15,kn,FPS-KA-DAV-0017
RC-KA-000238,Swathi Naik,PHH,1,5,5,0,hi,FPS-KA-DAV-0018
RC-KA-000239,Deepa Poojary,PHH,4,20,20,0,hi,FPS-KA-DAV-0019
RC-KA-000240,Shalini Bhat,PHH,4,20,20,0,kn,FPS-KA-DAV-0020
RC-KA-000241,Rahul Patil,PHH,3,15,0,15,en,FPS-KA-DHA-0001
RC-KA-000242,Kavya Bhat,PHH,5,25,15,10,kn,FPS-KA-DHA-0002
RC-KA-000243,Harish Bhat,PHH,3,15,0,15,en,FPS-KA-DHA-0003
RC-KA-000244,Shankar Joshi,PHH,7,35,10,25,kn,FPS-KA-DHA-0004
RC-KA-000245,Divya Kumar,PHH,6,30,20,10,kn,FPS-KA-DHA-0005
RC-KA-000246,Meena Rao,PHH,3,15,10,5,en,FPS-KA-DHA-0006
RC-KA-000247,Shankar Gowda,PHH,5,25,25,0,en,FPS-KA-DHA-0007
RC-KA-000248,Deepa Kumar,PHH,8,40,5,35,kn,FPS-KA-DHA-0008
RC-KA-000249,Kiran Patil,PHH,7,35,25,10,kn,FPS-KA-DHA-0009
RC-KA-000250,Kavya Poojary,PHH,5,25,20,5,kn,FPS-KA-DHA-0010
RC-KA-000251,Rahul Hegde,PHH,5,25,20,5,kn,FPS-KA-DHA-0011
RC-KA-000252,Aarav Sharma,PHH,2,10,10,0,kn,FPS-KA-DHA-0012
RC-KA-000253,Akash Poojary,PHH,6,30,20,10,kn,FPS-KA-DHA-0013
RC-KA-000254,Ananya Shetty,PHH,8,40,20,20,kn,FPS-KA-DHA-0014
RC-KA-000255,Meena Gowda,PHH,1,5,0,5,kn,FPS-KA-DHA-0015
RC-KA-000256,Arjun Kulkarni,PHH,2,10,0,10,en,FPS-KA-DHA-0016
RC-KA-000257,Sanjay Bhat,PHH,8,40,25,15,kn,FPS-KA-DHA-0017
RC-KA-000258,Rahul Gowda,PHH,7,35,10,25,en,FPS-KA-DHA-0018
RC-KA-000259,Divya Patil,PHH,8,40,30,10,en,FPS-KA-DHA-0019
RC-KA-000260,Deepa Kumar,PHH,6,30,5,25,kn,FPS-KA-DHA-0020
RC-KA-000261,Kavya Joshi,PHH,6,30,0,30,en,FPS-KA-GAD-0001
RC-KA-000262,Chetan Gowda,PHH,6,30,0,30,kn,FPS-KA-GAD-0002
RC-KA-000263,Rahul Poojary,PHH,8,40,5,35,kn,FPS-KA-GAD-0003
RC-KA-000264,Deepa Shetty,PHH,1,5,0,5,hi,FPS-KA-GAD-0004
RC-KA-000265,Pooja Reddy,PHH,4,20,0,20,hi,FPS-KA-GAD-0005
RC-KA-000266,Arjun Rao,PHH,4,20,5,15,kn,FPS-KA-GAD-0006
RC-KA-000267,Arjun Shetty,PHH,1,5,5,0,en,FPS-KA-GAD-0007
RC-KA-000268,Suresh Patil,PHH,5,25,5,20,kn,FPS-KA-GAD-0008
RC-KA-000269,Shankar Reddy,PHH,3,15,0,15,kn,FPS-KA-GAD-0009
RC-KA-000270,Aditi Shetty,PHH,6,30,0,30,kn,FPS-KA-GAD-0010
RC-KA-000271,Meena Desai,PHH,7,35,5,30,hi,FPS-KA-GAD-0011
RC-KA-000272,Manoj Joshi,PHH,6,30,20,10,kn,FPS-KA-GAD-0012
RC-KA-000273,Shankar Nayak,PHH,4,20,20,0,kn,FPS-KA-GAD-0013
RC-KA-000274,Aarav Patil,PHH,5,25,15,10,kn,FPS-KA-GAD-0014
RC-KA-000275,Ananya Desai,PHH,8,40,30,10,kn,FPS-KA-GAD-0015
RC-KA-000276,Harish Sharma,PHH,8,40,5,35,en,FPS-KA-GAD-0016
RC-KA-000277,Priya Poojary,PHH,3,15,0,15,kn,FPS-KA-GAD-0017
RC-KA-000278,Naveen Naik,PHH,6,30,15,15,en,FPS-KA-GAD-0018
RC-KA-000279,Ananya Rao,PHH,8,40,40,0,kn,FPS-KA-GAD-0019
RC-KA-000280,Shalini Joshi,PHH,2,10,10,0,kn,FPS-KA-GAD-0020
RC-KA-000281,Deepa Kulkarni,PHH,4,20,15,5,kn,FPS-KA-HAS-0001
RC-KA-000282,Lakshmi Bhat,PHH,6,30,30,0,kn,FPS-KA-HAS-0002
RC-KA-000283,Ravi Naik,PHH,2,10,5,5,kn,FPS-KA-HAS-0003
RC-KA-000284,Meena Gowda,PHH,6,30,5,25,kn,FPS-KA-HAS-0004
RC-KA-000285,Ananya Bhat,PHH,2,10,0,10,kn,FPS-KA-HAS-0005
RC-KA-000286,Aditi Sharma,PHH,6,30,30,0,kn,FPS-KA-HAS-0006
RC-KA-000287,Kavya Kumar,PHH,6,30,25,5,kn,FPS-KA-HAS-0007
RC-KA-000288,Priya Naik,PHH,7,35,0,35,en,FPS-KA-HAS-0008
RC-KA-000289,Chetan Shetty,PHH,6,30,0,30,kn,FPS-KA-HAS-0009
RC-KA-000290,Kavya Kumar,PHH,8,40,15,25,hi,FPS-KA-HAS-0010
RC-KA-000291,Prakash Reddy,PHH,6,30,0,30,hi,FPS-KA-HAS-0011
RC-KA-000292,Ravi Kumar,PHH,7,35,0,35,kn,FPS-KA-HAS-0012
RC-KA-000293,Rekha Rao,PHH,5,25,0,25,kn,FPS-KA-HAS-0013
RC-KA-000294,Bhavana Kumar,PHH,5,25,10,15,kn,FPS-KA-HAS-0014
RC-KA-000295,Sanjay Poojary,PHH,3,15,15,0,kn,FPS-KA-HAS-0015
RC-KA-000296,Chetan Kulkarni,PHH,1,5,0,5,hi,FPS-KA-HAS-0016
